Session_ID,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
TEST_AUTO_ACB_10,Thu nhập lãi thuần của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Thu nhập lãi thuần của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 6.769.710 Triệu đồng.'],Thu nhập lãi thuần của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 6.769.710 Triệu đồng.,8.279.694 triệu đồng,1.0,0.7588813858245849,0.0,0.0,0.19128976806996845
TEST_AUTO_ACB_11,Lợi nhuận sau thuế của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 4.280.589 Triệu đồng.'],Lợi nhuận sau thuế của Ngân hàng Á Châu (ACB) trong Quý 3 năm 2025 là 4.280.589 Triệu đồng.,4.280.589 triệu đồng,1.0,0.8173981424466192,0.9999999999,1.0,0.9447184649394496
TEST_AUTO_ACB_12,Tổng tài sản của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng tài sản của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 948.549 .176 Triệu đồng.'],Tổng tài sản của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 948.549.176 Triệu đồng.,948.549.176 triệu đồng,1.0,0.8394018221285107,0.9999999999,1.0,0.9539501313311883
TEST_AUTO_ACB_13,Tổng nợ phải trả của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng nợ phải trả của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 857.133.676 Triệu đồng.'],Tổng nợ phải trả của Ngân hàng Á Châu (ACB) tại ngày 30 tháng 09 năm 2025 là 857.133.676 Triệu đồng.,857.133.676 triệu đồng,1.0,0.774885416941753,0.9999999999,1.0,0.9518817588498194
TEST_AUTO_ACB_14,Lưu chuyển tiền thuần từ hoạt động kinh doanh của Ngân hàng Á Châu (ACB) lũy kế 9 tháng đầu năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lưu chuyển tiền thuần từ hoạt động kinh doanh của Ngân hàng Á Châu (ACB) lũy kế 9 tháng đầu năm 2025 là (21.190.910) Triệu đồng.'],Lưu chuyển tiền thuần từ hoạt động kinh doanh của Ngân hàng Á Châu (ACB) lũy kế 9 tháng đầu năm 2025 là (21.190.910) Triệu đồng.,-21.190.910 triệu đồng,1.0,0.81817991435643,0.9999999999,1.0,0.9453890299241419
TEST_AUTO_BCM_5,Doanh thu bán hàng và cung cấp dịch vụ của Becamex (BCM) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Doanh thu bán hàng và cung cấp dịch vụ của Becamex (BCM) trong Quý 3 năm 2025 là 851.829.440.858.'],Doanh thu bán hàng và cung cấp dịch vụ của Becamex (BCM) trong Quý 3 năm 2025 là 851.829.440.858 VND.,851.829.440.858 VND,0.0,0.867959576434069,0.9999999999,1.0,0.9326536308501874
TEST_AUTO_BCM_6,Lợi nhuận sau thuế thu nhập doanh nghiệp của Becamex (BCM) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế thu nhập doanh nghiệp của Becamex (BCM) trong Quý 3 năm 2025 là 236.726.284.587 VND.'],Lợi nhuận sau thuế thu nhập doanh nghiệp của Becamex (BCM) trong Quý 3 năm 2025 là 236.726.284.587 VND.,236.726.284.587 VND,1.0,0.8219424076083125,0.9999999999,1.0,0.9369486270677516
TEST_AUTO_BCM_7,Tổng cộng tài sản của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng cộng tài sản của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là 50.321.178.875.075.'],Tổng cộng tài sản của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là 50.321.178.875.075 VND.,50.321.178.875.075 VND,1.0,0.8883971795118727,0.9999999999,0.0,0.9454580484378812
TEST_AUTO_BCM_8,Tổng nợ phải trả của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng nợ phải trả của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là 34.694.406.192.723.'],Tổng nợ phải trả của Becamex (BCM) tại ngày 30 tháng 09 năm 2025 là 34.694.406.192.723.,34.694.406.192.723 VND,1.0,0.8808997728242097,0.9999999999,1.0,0.6950511869633338
TEST_AUTO_BCM_9,Lưu chuyển tiền thuần từ hoạt động kinh doanh của Becamex (BCM) lũy kế 9 tháng đầu năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lưu chuyển tiền thuần từ hoạt động kinh doanh của Becamex (BCM) lũy kế 9 tháng đầu năm 2025 là (398.631.979.587) VND.'],Lưu chuyển tiền thuần từ hoạt động kinh doanh của Becamex (BCM) lũy kế 9 tháng đầu năm 2025 là (398.631.979.587) VND.,-398.631.979.587 VND,1.0,0.8684963399415361,0.9999999999,1.0,0.9470570639611285
TEST_AUTO_BID_20,Thu nhập lãi thuần của BIDV (BID) trong Quý 3 năm 2025 là bao nhiêu?,"['[INTERNAL_RAG REPORT]: Thu nhập lãi thuần của BIDV trong Quý 3 năm 2025 là 15,172,618 Triệu VND.']","Thu nhập lãi thuần của Ngân hàng BIDV (BID) trong Quý 3 năm 2025 là 15,172,618 Triệu VND.",15.172.618 triệu VND,1.0,0.8432010699445036,0.9999999999,1.0,0.9423106640952693
TEST_AUTO_BID_21,Lợi nhuận sau thuế của BIDV (BID) trong Quý 3 năm 2025 là bao nhiêu?,"['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế của BIDV trong Quý 3 năm 2025 là 6,086,910 Triệu VND.']","Lợi nhuận sau thuế của BIDV (BID) trong Quý 3 năm 2025 là 6,086,910 Triệu VND.",6.086.910 triệu VND,0.0,0.862303201556493,0.9999999999,1.0,0.9432565159553037
TEST_AUTO_BID_22,Tổng tài sản của BIDV (BID) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,"['[INTERNAL_RAG REPORT]: Tổng tài sản của BIDV (BID) tại ngày 30 tháng 09 năm 2025 là 3,071,970,196 Triệu VND.']","Tổng tài sản của BIDV (BID) tại ngày 30 tháng 09 năm 2025 là 3,071,970,196 Triệu VND.",3.071.970.196 triệu VND,1.0,0.8786902014399668,0.9999999999,1.0,0.9363445946419556
TEST_AUTO_BID_23,Tiền gửi của khách hàng tại BIDV (BID) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,"['[INTERNAL_RAG REPORT]: Tiền gửi của khách hàng tại BIDV (BID) tại ngày 30 tháng 09 năm 2025 là 2,087,181,421 Triệu VND.']","Tiền gửi của khách hàng tại BIDV (BID) tại ngày 30 tháng 09 năm 2025 là 2,087,181,421 Triệu VND.",2.087.181.421 triệu VND,1.0,0.8578425480681543,0.9999999999,1.0,0.9415612988361558
TEST_AUTO_BID_24,Lưu chuyển tiền thuần từ hoạt động kinh doanh của BIDV (BID) lũy kế 9 tháng đầu năm 2025 là bao nhiêu?,"['[INTERNAL_RAG REPORT]: Lưu chuyển tiền thuần từ hoạt động kinh doanh của BIDV lũy kế 9 tháng đầu năm 2025 là 111,840,462 Triệu VND.']","Lưu chuyển tiền thuần từ hoạt động kinh doanh của BIDV lũy kế 9 tháng đầu năm 2025 là 111,840,462 Triệu VND.",111.840.462 triệu VND,1.0,0.81629151941938,0.9999999999,1.0,0.9512286426823215
TEST_AUTO_CTG_0,Thu nhập lãi thuần của VietinBank (CTG) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Thu nhập lãi thuần của VietinBank (CTG) trong Quý 3 năm 2025 là 17.175.718 triệu đồng.'],Thu nhập lãi thuần của VietinBank (CTG) trong Quý 3 năm 2025 là 17.175.718 triệu đồng.,17.175.718 triệu đồng,1.0,0.8699869201250409,0.9999999999,1.0,0.9249005414532271
TEST_AUTO_CTG_1,Lợi nhuận sau thuế TNDN của VietinBank (CTG) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế TNDN của VietinBank (CTG) trong Quý 3 năm 2025 là 8.512.463 triệu đồng.'],Lợi nhuận sau thuế TNDN của VietinBank (CTG) trong Quý 3 năm 2025 là 8.512.463 triệu đồng.,8.512.463 triệu đồng,1.0,0.8707535583137869,0.9999999999,1.0,0.9203337239760959
TEST_AUTO_CTG_2,Tổng tài sản của VietinBank (CTG) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng tài sản của VietinBank (CTG) tại ngày 30 tháng 09 năm 2025 là 2.761.550.938 triệu đồng.'],Tổng tài sản của VietinBank (CTG) tại ngày 30 tháng 09 năm 2025 là 2.761.550.938 triệu đồng.,2.761.550.938 triệu đồng,1.0,0.8857330328076479,0.9999999999,1.0,0.9330114463636974
TEST_AUTO_CTG_3,Tổng nợ phải trả của VietinBank (CTG) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng nợ phải trả của VietinBank (CTG) tại ngày 30 tháng 09 năm 2025 là 2.591.669.938 triệu đồng.'],Tổng nợ phải trả của VietinBank (CTG) tại ngày 30 tháng 09 năm 2025 là 2.591.669.938 triệu đồng.,2.591.669.938 triệu đồng,1.0,0.8762626492121263,0.9999999999,1.0,0.9386111140983306
TEST_AUTO_CTG_4,Lưu chuyển tiền thuần từ hoạt động kinh doanh của VietinBank (CTG) lũy kế 9 tháng đầu năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lưu chuyển tiền thuần từ hoạt động kinh doanh của VietinBank (CTG) lũy kế 9 tháng đầu năm 2025 là 85.022.836 triệu đồng.'],Lưu chuyển tiền thuần từ hoạt động kinh doanh của VietinBank (CTG) lũy kế 9 tháng đầu năm 2025 là 85.022.836 triệu đồng.,85.022.836 triệu đồng,1.0,0.7612131289052518,0.9999999999,1.0,0.9210516397336953
TEST_AUTO_DGC_15,Doanh thu bán hàng và cung cấp dịch vụ của Hóa chất Đức Giang (DGC) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Doanh thu bán hàng và cung cấp dịch vụ của Hóa chất Đức Giang (DGC) trong Quý 3 năm 2025 là 2.818.109.455.903 VND.'],Doanh thu bán hàng và cung cấp dịch vụ của Hóa chất Đức Giang (DGC) trong Quý 3 năm 2025 là 2.818.109.455.903 VND.,2.818.109.455.903 VND,1.0,0.8283324975433549,0.9999999999,1.0,0.9454692699826048
TEST_AUTO_DGC_16,Lợi nhuận sau thuế thu nhập doanh nghiệp của Hóa chất Đức Giang (DGC) trong Quý 3 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Lợi nhuận sau thuế thu nhập doanh nghiệp của Hóa chất Đức Giang (DGC) trong Quý 3 năm 2025 là 804.394.485.516 VND.'],Lợi nhuận sau thuế thu nhập doanh nghiệp của Hóa chất Đức Giang (DGC) trong Quý 3 năm 2025 là 804.394.485.516 VND.,751.640.144.097 VND,1.0,0.8171319633620991,0.0,0.0,0.2015471407922974
TEST_AUTO_DGC_17,Tổng tài sản của Hóa chất Đức Giang (DGC) tại ngày 30 tháng 09 năm 2025 là bao nhiêu?,['[INTERNAL_RAG REPORT]: Tổng tài sản của Hóa chất Đức Giang (DGC) tại ngày 30 tháng 09 năm 2025 là 19.424.382.428.034 VND.'],Tổng tài sản của Hóa chất Đức Giang (DGC) tại ngày 30 tháng 09 năm 2025 là 19.424.382.428.034 VND.,19.424.382.428.034 VND,1.0,0.8450378736236911,0.9999999999,1.0,0.9548557434643408
